V_I,ID,Mode,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
2.601,OGLE-BLG-CEP-039,1,17.510539,-28.849083,-99.99,-99.99,BLG613.28.70179,-99.99,16.25,18.851,1.3584854,3.2e-06,2460000.4338,0.114,0.106,3.955,0.055,2.209,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.248,OGLE-BLG-CEP-040,F,17.522394,-30.550944,-99.99,-99.99,BLG662.10.77627,-99.99,16.325,19.573,3.0221707,6.7e-06,2460000.3575,0.291,0.297,4.781,0.084,2.882,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.69,OGLE-BLG-CEP-041,123,17.528,-36.823583,-99.99,-99.99,BLG672.14.4453,-99.99,14.62,17.31,0.2396132,3e-07,2460000.0782,0.132,0.134,3.771,0.04,1.607,0.1911669,5e-07,2460000.1138,0.038,0.0,-99.99,0.0,-99.99,0.1593775,3e-07,2460000.1592,0.042,0.108,3.82,0.0,-99.99,
-99.99,OGLE-BLG-CEP-042,F,17.548014,-34.5605,-99.99,-99.99,BLG670.05.28719,-99.99,19.834,-99.99,3.7808614,0.0001702,2460002.0395,0.463,0.401,4.817,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.666,OGLE-BLG-CEP-043,12,17.550458,-29.814111,-99.99,-99.99,BLG654.25.115,-99.99,16.459,19.125,0.3600401,3e-07,2460000.2162,0.12,0.12,3.923,0.0,-99.99,0.2855913,8e-07,2460000.1046,0.014,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.795,OGLE-BLG-CEP-044,1,17.551475,-25.136861,-99.99,-99.99,BLG715.07.10648,-99.99,17.066,19.861,0.5829357,4e-07,2460000.2638,0.244,0.083,3.695,0.033,5.998,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.752,OGLE-BLG-CEP-045,F,17.558814,-29.951194,-99.99,-99.99,BLG654.15.31212,-99.99,17.495,21.247,2.9381529,2.2e-06,2460002.178,0.67,0.508,4.487,0.321,2.737,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.833,OGLE-BLG-CEP-046,1,17.565661,-29.729444,-99.99,-99.99,BLG654.23.104023,-99.99,15.971,18.804,4.2915269,2.66e-05,2460002.4038,0.331,0.147,5.076,0.034,4.186,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.031,OGLE-BLG-CEP-047,1,17.566161,-26.122861,-99.99,-99.99,BLG667.14.1293,-99.99,16.671,19.702,3.9648264,0.000107,2460000.585,0.165,0.0,-99.99,0.059,0.784,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.074,OGLE-BLG-CEP-048,12,17.591097,-28.665611,-99.99,-99.99,BLG653.12.77510,-99.99,17.959,21.033,0.7412166,9e-07,2460000.3683,0.275,0.247,3.611,0.123,1.306,0.5968486,5.1e-06,2460000.0382,0.034,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
