V_I,ID,Mode,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
0.77,OGLE-LMC-CEP-2838,1,5.666456,-70.329528,LMC_SC18_29237,LMC177.3.50434,LMC552.25.18062,CV553,15.539,16.309,2.0234678,7.3e-06,6001.25493,0.201,0.105,4.886,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.014,OGLE-LMC-CEP-2839,F,5.666872,-70.709972,LMC_SC18_6114,LMC177.1.97,LMC515.26.6122,-99.99,15.951,16.965,2.7923707,5e-06,6000.16316,0.357,0.399,4.498,0.182,2.784,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.775001,OGLE-LMC-CEP-2840,F,5.667178,-70.517556,LMC_SC17_197292,LMC177.2.46,LMC552.25.16,HV2757,15.171,15.946,3.798478,3.9e-06,6003.31983,0.629,0.47,4.53,0.276,2.854,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.651,OGLE-LMC-CEP-2841,F,5.667181,-70.270278,LMC_SC18_33576,LMC177.4.45,LMC552.25.29386,-99.99,15.719,17.37,5.5571205,6.79e-05,6001.66097,0.267,0.32,4.94,0.079,3.769,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.839,OGLE-LMC-CEP-2842,F,5.6675889999999995,-71.036056,-99.99,LMC178.7.51095,LMC515.18.6454,-99.99,15.574,16.413,3.0977709,3.5e-06,6003.09616,0.516,0.453,4.525,0.249,2.829,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.834999,OGLE-LMC-CEP-2843,1,5.667933,-68.852167,-99.99,LMC174.1.19057,LMC553.32.21678,-99.99,16.648,17.483,1.0555133,2.5e-06,6000.20597,0.157,0.169,3.823,0.05,1.175,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.851999,OGLE-LMC-CEP-2844,F,5.668,-69.371111,-99.99,LMC175.2.8878,LMC553.15.35439,-99.99,15.489,16.341,3.3851959,1.11e-05,6001.63539,0.263,0.318,4.551,0.113,2.85,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.918999,OGLE-LMC-CEP-2845,1,5.668103,-70.503167,LMC_SC17_200401,LMC177.2.45056,LMC552.25.22,-99.99,15.541,16.46,2.3128685,5.3e-06,6001.55591,0.283,0.119,4.702,0.024,4.59,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.794999,OGLE-LMC-CEP-2846,F,5.668417,-70.392056,LMC_SC17_207480,LMC177.3.75,LMC552.25.7656,HV12336,15.331,16.126,3.5837392,4.8e-06,6003.25633,0.491,0.437,4.61,0.228,2.994,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.426,OGLE-LMC-CEP-2847,1,5.668853,-70.25125,LMC_SC17_214860,LMC177.4.136,LMC552.25.29409,-99.99,16.105,17.531,2.303261,1.13e-05,6000.96226,0.211,0.084,4.795,0.017,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.818,OGLE-LMC-CEP-2848,F,5.668933,-70.359972,LMC_SC18_25041,LMC177.3.77,LMC552.25.18036,HV2759,15.471,16.289,3.2783174,3.5e-06,6000.07973,0.489,0.464,4.585,0.256,2.95,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.281,OGLE-LMC-CEP-2849,F,5.669067,-70.791,-99.99,LMC178.5.55527,LMC515.26.55,-99.99,15.748,17.029,3.7636779,3.72e-05,6000.41656,0.201,0.269,4.616,0.07,2.941,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.656,OGLE-LMC-CEP-2850,1,5.669431,-70.462639,LMC_SC17_200430,LMC177.2.45059,LMC552.25.7591,HV2758,15.328,15.984,2.0225268,4.7e-06,6000.68329,0.252,0.183,4.535,0.018,2.996,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,secondary period 1.222117 d
0.714999,OGLE-LMC-CEP-2851,1,5.669678,-70.4085,LMC_SC18_25000,LMC177.3.82,LMC552.25.7641,-99.99,15.481,16.196,1.9903816,4.4e-06,6001.18065,0.247,0.134,4.695,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.940001,OGLE-LMC-CEP-2852,F,5.669978,-69.381833,-99.99,LMC175.2.8824,LMC553.15.35430,-99.99,15.013,15.953,5.3041163000000005,1.18e-05,6001.19703,0.495,0.445,4.915,0.181,3.462,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.082,OGLE-LMC-CEP-2853,1,5.670203,-69.961083,LMC_SC18_53375,LMC176.2.9222,LMC516.08.23393,CV565,16.051,17.133,1.8442512,5.8e-06,6001.74708,0.169,0.173,4.473,0.026,3.076,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.34,OGLE-LMC-CEP-2854,F,5.670228,-69.635583,-99.99,LMC176.4.5538,LMC516.17.19642,-99.99,16.218,17.558,4.3648307,1.24e-05,6000.62858,0.43,0.412,4.763,0.183,3.286,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.766001,OGLE-LMC-CEP-2855,1,5.6702829999999995,-70.443028,LMC_SC18_20966,LMC177.2.45063,LMC552.25.7604,-99.99,15.524,16.29,2.0802757,8e-06,6002.06001,0.206,0.118,5.038,0.024,4.367,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,secondary period 1.298924 d
0.817,OGLE-LMC-CEP-2856,F,5.670983,-70.3315,LMC_SC18_29199,LMC177.3.50456,LMC552.25.18060,HV2762,15.339,16.156,3.5507147999999997,5.8e-06,6001.92182,0.378,0.4,4.608,0.188,3.005,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.739,OGLE-LMC-CEP-2857,1,5.671378,-70.088972,LMC_SC18_45402,LMC176.1.9010,LMC516.08.6776,-99.99,17.272,18.011,0.5808653,6e-07,6000.08534,0.321,0.186,3.443,0.111,0.856,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.798,OGLE-LMC-CEP-2858,1,5.671669,-70.960722,-99.99,LMC178.3.57,LMC515.18.14710,-99.99,16.455,17.253,1.1195608,4e-06,6000.20215,0.175,0.196,4.086,0.054,1.901,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.763,OGLE-LMC-CEP-2859,F,5.671747,-68.706472,-99.99,LMC174.2.20654,LMC553.32.29541,-99.99,15.534,16.297,2.8941777,4.3e-06,6000.20586,0.398,0.426,4.524,0.211,2.748,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.612,OGLE-LMC-CEP-2860,1,5.672389,-69.396528,-99.99,LMC175.2.18094,LMC553.15.35519,-99.99,15.645,16.257,1.5841177,2.5e-06,6001.23005,0.288,0.198,4.096,0.037,2.674,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,secondary period 0.964544 d
0.745,OGLE-LMC-CEP-2861,1,5.672994,-70.830083,LMC_SC18_50,LMC178.4.56,LMC552.16.431D,-99.99,15.842,16.587,1.6125942,1e-05,6000.26814,0.199,0.163,4.64,0.051,2.555,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.799,OGLE-LMC-CEP-2862,F,5.673228,-70.428861,LMC_SC18_20975,LMC177.3.94,LMC552.25.7622,-99.99,15.524,16.323,3.0464015,3.5e-06,6002.33083,0.474,0.43,4.532,0.228,2.818,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.879999,OGLE-LMC-CEP-2863,1,5.673372,-71.186306,-99.99,LMC178.1.26379,LMC515.09.20547,-99.99,15.868,16.748,1.9355368,1.55e-05,6000.30309,0.162,0.105,5.171,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.962,OGLE-LMC-CEP-2864,F,5.673536,-69.872083,-99.99,LMC176.2.45840,LMC516.17.25,CV572,14.825,15.787,6.2700807,3.77e-05,6003.9941,0.198,0.246,5.037,0.028,4.181,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.731999,OGLE-LMC-CEP-2865,F,5.674,-70.362889,LMC_SC18_25039,LMC177.3.98,LMC552.25.18108,HV12337,15.595,16.327,2.6824354,2.4e-06,6002.00177,0.482,0.436,4.457,0.226,2.662,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.856,OGLE-LMC-CEP-2866,F,5.674075,-70.332722,LMC_SC18_29197,LMC177.3.50395,LMC552.25.18018,HV2766,14.587,15.443,6.6132812,2.23e-05,6000.10932,0.321,0.267,5.307,0.069,3.729,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.759,OGLE-LMC-CEP-2867,1,5.674639,-70.177333,LMC_SC18_37403,LMC177.4.60737,LMC516.08.46,LMV1830 HV13004,15.37,16.129,2.1573497,3.5e-06,6001.32017,0.268,0.161,4.644,0.023,3.265,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.656999,OGLE-LMC-CEP-2868,1,5.674717,-71.390444,-99.99,LMC179.5.37905,LMC515.09.68,LMV1451 HV12633,15.494,16.151,2.2344682,2.36e-05,6000.52316,0.286,0.165,3.651,0.038,0.08,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.715,OGLE-LMC-CEP-2869,1,5.675317,-70.398556,LMC_SC18_24980,LMC177.3.13872,LMC552.25.7649,-99.99,15.059,15.774,2.5951837,5.8e-06,6000.65051,0.277,0.114,4.735,0.018,4.526,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.786,OGLE-LMC-CEP-2870,F,5.675497,-70.350167,LMC_SC18_29186,LMC177.3.64168,LMC552.25.18045,HV2767,15.197,15.983,3.9530948,5.9e-06,6003.30894,0.455,0.449,4.712,0.228,3.194,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.885,OGLE-LMC-CEP-2871,F,5.675497,-68.791806,-99.99,LMC174.2.20589,LMC553.32.8652,HV2773,14.53,15.415,6.3498966,3.75e-05,6004.95819,0.513,0.433,5.018,0.156,3.242,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.752,OGLE-LMC-CEP-2872,1,5.675558,-70.47475,LMC_SC18_17739,LMC177.2.57882,LMC552.25.41,-99.99,15.513,16.265,2.0383367,6.5e-06,6001.10816,0.206,0.109,4.676,0.02,4.039,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.733,OGLE-LMC-CEP-2873,F,5.675647,-70.300583,LMC_SC18_29260,LMC177.3.64170,LMC552.25.29314,HV12339,15.33,16.063,3.2466649,3.9e-06,6000.2235,0.621,0.473,4.446,0.287,2.616,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.802,OGLE-LMC-CEP-2874,F,5.6756969999999995,-70.388556,LMC_SC18_24988,LMC177.3.13906,LMC552.25.7659,HV12338,15.092,15.894,4.1170395,7.1e-06,6001.81413,0.534,0.434,4.61,0.218,2.972,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.842,OGLE-LMC-CEP-2875,1,5.675736,-70.026194,LMC_SC18_49343,LMC176.1.43915,LMC516.08.14955,-99.99,15.815,16.657,1.8482909,1.1e-05,6000.58901,0.127,0.091,4.909,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.92,OGLE-LMC-CEP-2876,F,5.675842,-70.340944,LMC_SC18_29194,LMC177.3.64135,LMC552.25.18055,CV569,14.903,15.823,5.4088542,1.11e-05,6005.24188,0.431,0.412,4.989,0.14,3.583,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.877,OGLE-LMC-CEP-2877,1,5.675856,-70.539972,LMC_SC18_14864,LMC177.2.11184,LMC552.16.24683,-99.99,15.744,16.621,1.8881293,6.2e-06,6001.1824,0.226,0.151,4.585,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.83,OGLE-LMC-CEP-2878,F,5.675944,-70.03075,LMC_SC18_49311,LMC176.1.43916,LMC516.08.14948,CV573,15.614,16.444,3.2060916,8.6e-06,6000.69745,0.369,0.394,4.593,0.181,2.956,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.932,OGLE-LMC-CEP-2879,F,5.676181,-71.141556,-99.99,LMC178.2.68,LMC552.07.32303,-99.99,15.692,16.624,2.9566837,2.25e-05,6002.31514,0.383,0.403,4.524,0.17,2.679,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.14,OGLE-LMC-CEP-2880,F,5.676231,-69.598472,-99.99,LMC176.4.33857,LMC553.15.50,-99.99,16.056,17.196,3.4936255,7.6e-06,6001.34057,0.504,0.431,4.574,0.234,2.955,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.069,OGLE-LMC-CEP-2881,F,5.676442,-69.099306,-99.99,LMC175.3.38955,LMC553.24.10298,-99.99,15.969,17.038,2.8975322,5.6e-06,6001.12676,0.354,0.394,4.508,0.174,2.76,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.826,OGLE-LMC-CEP-2882,F1,5.67655,-69.745722,-99.99,LMC176.3.38223,LMC516.17.13817,CV579,16.569,17.395,1.4986891,1.14e-05,6001.23287,0.103,0.104,4.368,0.0,-99.99,1.0886801,2.9e-06,6001.02779,0.185,0.202,4.209,0.063,2.254,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.774,OGLE-LMC-CEP-2883,1,5.6772,-69.926639,-99.99,LMC176.2.9182,LMC516.08.23421,CV577,15.42,16.194,2.1763367,5e-06,6000.83395,0.187,0.109,4.666,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.993999,OGLE-LMC-CEP-2884,F,5.677667,-70.767528,LMC_SC18_59963,LMC178.4.32822,LMC552.15.32043,HV5990,14.057,15.051,9.7334836,6.82e-05,6000.95203,0.428,0.182,6.027,0.145,5.318,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.042,OGLE-LMC-CEP-2885,F,5.677708,-70.641278,LMC_SC18_69137,LMC177.1.50204,LMC552.15.5479D,-99.99,15.359,16.401,4.1884818,1.63e-05,6000.21596,0.277,0.33,4.67,0.105,3.207,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.979,OGLE-LMC-CEP-2886,F,5.677969,-71.222472,-99.99,LMC178.1.26393,LMC515.08.42224,9,15.587,16.566,3.3208177,1.14e-05,6000.67081,0.234,0.292,4.532,0.097,2.966,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.693001,OGLE-LMC-CEP-2887,1,5.678006,-71.138528,-99.99,LMC178.2.160,LMC515.17.29011,-99.99,17.071,17.764,0.654009,2.7e-06,6000.06573,0.129,0.169,3.221,0.112,1.094,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,secondary period 0.888676 d (blended eclipsing binary or doubled third-overtone period)
0.759999,OGLE-LMC-CEP-2888,F,5.678597,-70.365028,LMC_SC18_81430,LMC177.3.13924,LMC552.24.6201D,-99.99,15.22,15.98,3.4348873,1.31e-05,6002.11355,0.507,0.393,4.509,0.211,2.7,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.915,OGLE-LMC-CEP-2889,F,5.678628,-70.569306,LMC_SC18_72000,LMC177.2.11192,LMC552.15.56008,-99.99,15.367,16.282,3.8381685,1.08e-05,6000.42492,0.362,0.394,4.699,0.171,3.149,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.636,OGLE-LMC-CEP-2890,F,5.678817,-70.348083,LMC_SC18_85260,LMC177.3.64182,LMC552.24.6239D,-99.99,15.677,16.313,2.6366609,4.2e-06,6001.66205,0.638,0.477,4.391,0.264,2.53,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.821001,OGLE-LMC-CEP-2891,F,5.6788419999999995,-69.657778,-99.99,LMC176.4.5583,LMC516.17.19618,HV2771,15.865,16.686,2.4206845,2.5e-06,6000.22108,0.554,0.461,4.279,0.246,2.487,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.906001,OGLE-LMC-CEP-2892,F,5.679133,-69.455861,-99.99,LMC175.1.45058,LMC553.15.5843,-99.99,15.176,16.082,4.3209395,1.64e-05,6003.28486,0.268,0.31,4.737,0.103,3.157,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.769,OGLE-LMC-CEP-2893,F,5.679422,-68.73475,-99.99,LMC174.2.20599,LMC553.32.13581,HV2779,14.687,15.456,5.3222387,2.44e-05,6004.70071,0.349,0.398,4.881,0.131,3.524,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.006,OGLE-LMC-CEP-2894,F,5.679731,-69.933972,-99.99,LMC176.2.9187,LMC516.08.23413,LMV625 HV2768,15.215,16.221,4.7942543,1.47e-05,6001.35735,0.365,0.362,4.753,0.135,3.323,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.768001,OGLE-LMC-CEP-2895,1,5.679875,-70.49125,LMC_SC18_74813,LMC177.2.57905,LMC552.24.36036,-99.99,15.443,16.211,2.1702218,8.6e-06,6000.8109,0.151,0.125,5.311,0.036,4.91,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-LMC-CEP-2896,1,5.680328,-68.388917,-99.99,LMC174.4.20390,LMC554.06.3622D,-99.99,17.451,-99.99,0.4184678,1e-06,6000.26244,0.136,0.332,6.181,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.746,OGLE-LMC-CEP-2897,F,5.681094,-70.376833,LMC_SC18_81459,LMC177.3.13934,LMC552.24.54005,CV578,15.907,16.653,2.2341288,2.6e-06,6000.93297,0.435,0.47,4.391,0.245,2.662,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.712999,OGLE-LMC-CEP-2898,F,5.68125,-70.975139,-99.99,LMC178.3.96,LMC515.17.43891,HV12635,15.83,16.543,2.1088037,2.7e-06,6001.37391,0.578,0.466,4.293,0.259,2.48,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.007,OGLE-LMC-CEP-2899,1,5.681736,-70.268472,LMC_SC18_89161,LMC177.4.11980,LMC552.24.64315,CV582,15.708,16.715,2.3260399,1.02e-05,6002.18185,0.204,0.064,5.206,0.021,5.178,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.784,OGLE-LMC-CEP-2900,F,5.6817969999999995,-70.548972,LMC_SC18_72029,LMC177.2.11207,LMC552.15.56019,HV12341,15.42,16.204,3.1025772,2.9e-06,6000.07955,0.502,0.425,4.495,0.226,2.751,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.123,OGLE-LMC-CEP-2901,1,5.682775,-70.284611,LMC_SC18_89131,LMC177.3.64202,LMC552.24.64253,CV584,15.436,16.559,3.1456723,1.88e-05,6001.36956,0.214,0.037,3.298,0.068,5.381,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.849001,OGLE-LMC-CEP-2902,1,5.683131,-70.265222,LMC_SC18_89164,LMC177.4.11987,LMC552.24.64271,CV587,15.657,16.506,1.9466902,3.9e-06,6000.62611,0.272,0.19,4.504,0.032,2.802,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.702001,OGLE-LMC-CEP-2903,F,5.683158,-68.52225,-99.99,LMC174.3.20390,LMC554.06.18710,HV2788,14.815,15.517,4.3560642,4e-06,6001.89785,0.609,0.461,4.568,0.249,2.935,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.777,OGLE-LMC-CEP-2904,F,5.683714,-71.861944,-99.99,LMC179.1.11,LMC551.16.7853,HV12837,14.596,15.373,5.4473883,1.51e-05,6004.068,0.493,0.435,4.782,0.18,3.318,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.716,OGLE-LMC-CEP-2905,F,5.684808,-70.326806,LMC_SC18_85244,LMC177.3.64152,LMC552.24.53982,HV5980,14.979,15.695,4.060859,4.6e-06,6001.2494,0.52,0.412,4.632,0.203,2.952,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.761,OGLE-LMC-CEP-2906,12,5.684975,-69.055222,-99.99,LMC175.4.21750,LMC553.24.15372,-99.99,16.52,17.281,1.011702,1.8e-06,6000.01754,0.235,0.23,4.005,0.092,1.947,0.8129138,4.1e-06,6000.41491,0.073,0.107,4.777,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
0.847,OGLE-LMC-CEP-2907,F,5.685131,-70.40525,LMC_SC18_81440,LMC177.3.13949,LMC552.24.43844,10,15.59,16.437,3.0259452,3e-06,6002.91716,0.486,0.457,4.54,0.248,2.847,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
